company_id,name,company_size,state,city
3102,BD,7,New Jersey,Franklin Lakes
3114,Office Depot,7,Florida,Boca Raton
3117,Lionbridge,6,Massachusetts,Waltham
3128,FIS,7,FL,Jacksonville
3135,Hyatt Regency,7,0,Chicago
3137,Levi Strauss & Co.,7,California,San Francisco
3140,Freddie Mac,6,VA,McLean
3143,Stop & Shop,7,MA,Quincy
3146,Software Engineering Institute | Carnegie Mellon University,4,PA,Pittsburgh
3157,NYU Stern School of Business,5,NY,New York
3162,The University of Texas at Austin,7,tx,Austin
3163,"Penn Medicine, University of Pennsylvania Health System",7,PA,Philadelphia
3165,University of Pennsylvania,7,PA,Philadelphia
3171,The Ohio State University Wexner Medical Center,7,OH,Columbus
3173,The Ohio State University,7,Ohio,Columbus
3174,Ohio Department of Education and Workforce,4,Ohio,Columbus
3175,Ingersoll Rand,7,North Carolina,Davidson
3178,JLL,7,Illinois,Chicago
3181,University of Minnesota,7,Minnesota,Minneapolis and St. Paul
3185,Salesforce,7,California,San Francisco
3196,Northwestern University,6,IL,Evanston
3214,"Mattel, Inc.",7,California,El Segundo
3240,Farmers Insurance,7,CA,Woodland Hills
3242,International Paper,7,Tennessee,Memphis
3246,CNA Insurance,6,Illinois,Chicago
3252,KeyBank,7,Ohio,Cleveland 
3264,Progressive Insurance,7,OH,Mayfield Village
3282,Stryker,7,MI,Kalamazoo
3289,Physio,5,GA,Atlanta
3304,Bechtel Corporation,7,Virginia,Reston
3316,"Ricoh USA, Inc.",7,PA,Exton
3321,Avery Dennison,7,Ohio,Mentor
3330,Cox Communications,7,GA,Atlanta
3334,CDW,7,IL,Vernon Hills
3335,Textron,7,RI,Providence
3339,Textron Systems,5,Texas,Haslet
3342,Kaplan,7,FL,Fort Lauderdale
3364,Fiserv,7,Wisconsin,Milwaukee
3379,Nordstrom,7,Washington,Seattle
3382,UC San Diego,7,CA,La Jolla
3384,UC San Diego Health,7,CA,San Diego
3386,IDC,5,Massachusetts,Needham
3398,FICO,5,Montana,Bozeman
3406,Pizza Hut,7,TX,Plano
3407,Taco Bell,7,CA,Irvine
3409,Yum! Brands,5,KY,Louisville
3411,Georgia-Pacific LLC,7,GA,Atlanta
3432,New York Life Insurance Company,7,New York,New York
3439,Kimberly-Clark,7,TX,Irving
3441,Peace Corps,6,District of Columbia,Washington
3450,Analog Devices,7,MA,Wilmington
3460,UPMC,7,PA,Pittsburgh
3462,UPMC Health Plan,5,Pennsylvania,Pittsburgh
3493,Conagra Brands,7,Illinois,Chicago
3496,Progress,5,Massachusetts,Burlington
3498,Safeway,7,0,0
3522,Weill Cornell Medicine,6,NY,New York
